Date,Adset,URL,Platform,Spend,Visitors,Leads,SiteVisits,Closure,Project
2025-09-16,Adset-10,URL-457,Instagram,7898,53284,2222,44,7,ASBL Lakeside
2025-09-17,Adset-2,URL-172,Facebook,15374,82215,2222,81,16,ASBL Spire
2025-09-17,Adset-5,URL-125,WhatsApp,18670,22842,1134,30,2,Sunshine Meadows
2025-09-17,Adset-13,URL-339,LinkedIn,15047,86594,1255,56,6,Skyline Towers
2025-09-17,Adset-13,URL-424,WhatsApp,18736,13740,1033,77,3,Elite Enclave
2025-09-17,Adset-12,URL-164,LinkedIn,10321,42731,2742,38,12,ASBL Spire
2025-09-17,Adset-4,URL-323,LinkedIn,14293,8297,2879,42,16,ASBL Palm
2025-09-17,Adset-11,URL-457,WhatsApp,15952,14738,2755,10,5,Riverfront Homes
2025-09-17,Adset-5,URL-457,WhatsApp,19751,53426,2652,38,8,Skyline Towers
2025-09-17,Adset-14,URL-457,YouTube,15779,54856,2352,13,22,Elite Enclave
2025-09-17,Adset-6,URL-246,Meta,8997,70584,2910,32,8,ASBL Spectra
2025-09-17,Adset-13,URL-481,Facebook,8995,50857,2025,59,17,ASBL Spire
2025-09-17,Adset-14,URL-412,WhatsApp,16523,81385,2992,65,16,Riverfront Homes
2025-09-17,Adset-7,URL-437,Meta,17487,24025,1247,79,23,Sunshine Meadows
2025-09-17,Adset-12,URL-432,Google,10616,14051,1604,46,19,Skyline Towers
2025-09-17,Adset-5,URL-412,WhatsApp,13241,96311,2129,95,17,ASBL Lakeside
2025-09-17,Adset-11,URL-481,YouTube,15800,39618,1863,67,21,Sunshine Meadows
2025-09-17,Adset-10,URL-356,Google,13046,9460,1323,61,3,Sunshine Meadows
2025-09-17,Adset-14,URL-164,Instagram,14460,20785,1835,66,9,ASBL Spectra
2025-09-17,Adset-6,URL-323,Instagram,14974,83466,1103,7,28,ASBL Palm
2025-09-17,Adset-8,URL-125,Instagram,10811,59096,2641,72,17,ASBL Lakeside
2025-09-17,Adset-5,URL-356,Facebook,12254,61532,2174,94,15,ASBL Lakeside
2025-09-17,Adset-8,URL-172,Instagram,12348,5854,1733,75,27,Elite Enclave
2025-09-17,Adset-1,URL-339,Facebook,18872,29654,1116,6,14,ASBL Spire
2025-09-17,Adset-6,URL-356,Facebook,9696,80580,2033,70,26,Sunshine Meadows
2025-09-17,Adset-13,URL-164,Facebook,7415,60277,2341,41,21,ASBL Lakeside
2025-09-17,Adset-1,URL-356,Facebook,16006,71215,1245,51,14,Elite Enclave
2025-09-17,Adset-5,URL-327,Instagram,12230,17721,2752,69,9,ASBL Spectra
2025-09-17,Adset-2,URL-424,Facebook,13050,57087,1719,62,22,ASBL Loft
2025-09-17,Adset-12,URL-366,Meta,10782,47961,2020,48,24,ASBL Spectra
2025-09-17,Adset-9,URL-457,WhatsApp,4999,92508,1447,67,18,ASBL Spectra
2025-09-17,Adset-9,URL-481,LinkedIn,12463,55487,1026,97,4,Riverfront Homes
2025-09-17,Adset-7,URL-323,Instagram,1768,22507,2206,83,21,Elite Enclave
2025-09-17,Adset-1,URL-400,Instagram,7473,46849,1000,98,8,ASBL Spire
2025-09-18,Adset-7,URL-125,LinkedIn,3378,82046,2483,54,0,ASBL Lakeside
2025-09-18,Adset-2,URL-323,Google,18599,95102,1072,59,3,Skyline Towers
2025-09-18,Adset-8,URL-339,Instagram,8570,27888,2151,64,29,GreenNest Residency
2025-09-18,Adset-14,URL-400,Meta,19063,14902,2939,62,27,Skyline Towers
2025-09-18,Adset-9,URL-412,LinkedIn,5466,11651,1620,82,1,Elite Enclave
2025-09-18,Adset-8,URL-424,WhatsApp,10267,51416,2690,37,17,ASBL Spire
2025-09-18,Adset-9,URL-424,WhatsApp,11833,98624,1686,32,8,Sunshine Meadows
2025-09-18,Adset-9,URL-116,Instagram,18001,60873,2627,17,11,Riverfront Homes
2025-09-18,Adset-5,URL-378,YouTube,17877,75304,1804,71,29,ASBL Spire
2025-09-18,Adset-14,URL-172,YouTube,13362,25605,2857,60,10,ASBL Loft
2025-09-18,Adset-11,URL-356,Facebook,15483,47758,1537,62,19,Elite Enclave
2025-09-18,Adset-10,URL-424,Facebook,1578,49524,1424,76,2,ASBL Lakeside
2025-09-18,Adset-6,URL-432,Google,19184,98050,2514,94,27,Riverfront Homes
2025-09-18,Adset-14,URL-327,WhatsApp,12207,78301,2587,65,6,Elite Enclave
2025-09-18,Adset-2,URL-424,Facebook,2732,34513,2677,4,0,ASBL Lakeside
2025-09-18,Adset-6,URL-172,LinkedIn,19629,82143,1639,62,11,ASBL Lakeside
2025-09-18,Adset-11,URL-481,LinkedIn,3385,27969,1963,78,1,Skyline Towers
2025-09-18,Adset-14,URL-378,Google,11063,43067,1361,20,2,GreenNest Residency
2025-09-18,Adset-11,URL-172,Meta,5336,52633,2330,34,6,Sunshine Meadows
2025-09-18,Adset-5,URL-432,Google,9910,65031,2694,11,18,Riverfront Homes
2025-09-18,Adset-13,URL-412,Facebook,12818,37856,1829,21,29,ASBL Spectra
2025-09-18,Adset-11,URL-437,Instagram,18358,96071,1603,58,3,GreenNest Residency
2025-09-18,Adset-2,URL-432,WhatsApp,18457,27779,1856,12,17,Sunshine Meadows
2025-09-18,Adset-6,URL-424,WhatsApp,16232,10713,1404,91,6,ASBL Loft
2025-09-18,Adset-5,URL-172,WhatsApp,13475,78857,2542,10,17,ASBL Lakeside
2025-09-18,Adset-12,URL-246,Instagram,3828,37733,1380,74,16,ASBL Loft
2025-09-18,Adset-3,URL-378,WhatsApp,19932,13321,1446,22,15,ASBL Palm
2025-09-18,Adset-1,URL-481,Facebook,8638,58383,2506,16,8,ASBL Spectra
2025-09-18,Adset-7,URL-378,Meta,1805,95016,1104,56,21,Riverfront Homes
2025-09-18,Adset-14,URL-432,Google,8126,97073,1451,89,5,ASBL Lakeside
2025-09-18,Adset-4,URL-116,WhatsApp,10788,81072,1283,61,0,Riverfront Homes
2025-09-18,Adset-14,URL-327,Google,2515,76283,1988,17,18,Skyline Towers
2025-09-19,Adset-4,URL-301,YouTube,11755,98926,1031,58,16,ASBL Palm
2025-09-19,Adset-4,URL-356,Facebook,4183,71628,2555,91,25,Elite Enclave
2025-09-19,Adset-7,URL-424,LinkedIn,14361,94647,1780,41,24,ASBL Spire
2025-09-19,Adset-8,URL-339,Google,19288,63563,1064,96,10,ASBL Palm
2025-09-19,Adset-11,URL-323,Google,8277,5505,2745,80,2,ASBL Spire
2025-09-19,Adset-3,URL-301,Instagram,16620,32613,1840,30,13,Elite Enclave
2025-09-19,Adset-3,URL-172,Google,7969,33974,2909,85,23,ASBL Lakeside
2025-09-19,Adset-6,URL-457,Google,9530,47971,1575,63,18,ASBL Spectra
2025-09-19,Adset-10,URL-378,LinkedIn,18535,47797,2513,81,1,Skyline Towers
2025-09-19,Adset-8,URL-432,Google,17219,54313,2499,76,7,ASBL Loft
2025-09-19,Adset-3,URL-424,YouTube,7397,58899,1199,98,26,ASBL Spire
2025-09-19,Adset-2,URL-246,Facebook,7593,86589,2448,93,25,ASBL Spire
2025-09-19,Adset-12,URL-172,Facebook,1636,28125,1042,36,21,GreenNest Residency
2025-09-19,Adset-10,URL-164,Facebook,4517,96839,1745,34,29,Skyline Towers
2025-09-19,Adset-1,URL-412,Instagram,16643,74996,1748,77,6,Sunshine Meadows
2025-09-19,Adset-1,URL-432,Meta,13068,93195,2834,72,28,ASBL Loft
2025-09-19,Adset-3,URL-432,LinkedIn,4434,80127,2132,79,26,ASBL Lakeside
2025-09-19,Adset-10,URL-327,Google,4882,68067,2485,73,23,ASBL Palm
2025-09-19,Adset-8,URL-323,Meta,13559,16660,1615,63,20,ASBL Spire
2025-09-19,Adset-11,URL-412,LinkedIn,1213,22168,2469,66,8,Riverfront Homes
2025-09-19,Adset-1,URL-246,Meta,17663,51421,2716,33,11,ASBL Lakeside
2025-09-19,Adset-1,URL-246,Facebook,12115,7362,2977,24,23,ASBL Spectra
2025-09-19,Adset-12,URL-356,YouTube,2186,11210,1236,43,23,ASBL Spectra
2025-09-19,Adset-10,URL-432,YouTube,15477,56821,2876,20,18,ASBL Lakeside
2025-09-19,Adset-7,URL-378,Google,15274,73896,1989,50,24,ASBL Spire
2025-09-19,Adset-9,URL-339,YouTube,9403,77001,1257,65,7,Skyline Towers
2025-09-19,Adset-8,URL-481,YouTube,2378,9683,2221,46,26,ASBL Spire
2025-09-19,Adset-4,URL-164,YouTube,16385,6435,1965,4,23,Elite Enclave
2025-09-19,Adset-9,URL-339,YouTube,7826,72827,1434,20,28,Skyline Towers
2025-09-19,Adset-9,URL-323,WhatsApp,18087,66352,2741,74,20,ASBL Palm
2025-09-19,Adset-2,URL-246,LinkedIn,16895,14359,2011,64,3,Sunshine Meadows
2025-09-19,Adset-4,URL-412,Google,12458,71749,1371,60,2,ASBL Spectra
2025-09-19,Adset-6,URL-301,Meta,4079,11837,2220,8,1,Skyline Towers
2025-09-20,Adset-5,URL-323,Facebook,12395,27933,2679,57,16,Skyline Towers
2025-09-20,Adset-10,URL-412,Instagram,15374,99749,1261,52,0,ASBL Palm
2025-09-20,Adset-4,URL-377,Facebook,11127,43131,1479,92,13,Skyline Towers
2025-09-20,Adset-9,URL-125,WhatsApp,3223,13401,2966,2,13,Skyline Towers
2025-09-20,Adset-8,URL-424,WhatsApp,15296,74132,2790,11,8,ASBL Spectra
2025-09-20,Adset-6,URL-356,Google,9356,17027,1939,81,13,ASBL Palm
2025-09-20,Adset-5,URL-356,WhatsApp,16228,69618,1856,83,5,GreenNest Residency
2025-09-20,Adset-1,URL-424,Google,12332,70943,1933,54,2,ASBL Spire
2025-09-20,Adset-4,URL-424,LinkedIn,6108,81151,1797,44,1,ASBL Loft
2025-09-20,Adset-13,URL-424,Instagram,2248,42151,2924,78,20,ASBL Lakeside
2025-09-20,Adset-10,URL-400,LinkedIn,9956,45966,2859,79,25,ASBL Loft
2025-09-20,Adset-4,URL-356,Instagram,19966,67218,2190,46,5,ASBL Spectra
2025-09-20,Adset-2,URL-327,WhatsApp,10139,16278,1733,83,9,ASBL Lakeside
2025-09-20,Adset-2,URL-356,Google,7908,18865,2538,96,10,ASBL Spectra
2025-09-20,Adset-8,URL-125,Meta,7983,75901,2780,23,4,Elite Enclave
2025-09-20,Adset-3,URL-172,Google,6436,53993,1673,98,29,ASBL Lakeside
2025-09-20,Adset-14,URL-457,LinkedIn,12625,57302,1688,8,1,ASBL Loft
2025-09-20,Adset-8,URL-301,Facebook,18744,82863,1439,94,15,Riverfront Homes
2025-09-20,Adset-14,URL-437,YouTube,8123,23051,1855,92,11,ASBL Spectra
2025-09-20,Adset-14,URL-172,LinkedIn,8241,88575,1879,72,9,Elite Enclave
2025-09-20,Adset-7,URL-366,LinkedIn,16338,46256,2133,77,28,Riverfront Homes
2025-09-20,Adset-2,URL-246,WhatsApp,5056,66035,2364,10,15,ASBL Lakeside
2025-09-21,Adset-10,URL-246,Instagram,2570,68449,1220,14,22,ASBL Spire
2025-09-21,Adset-4,URL-457,WhatsApp,2081,62470,1173,89,14,ASBL Spire
2025-09-21,Adset-1,URL-125,WhatsApp,5280,28996,2200,57,2,Riverfront Homes
2025-09-21,Adset-2,URL-116,YouTube,3558,21905,2911,19,21,ASBL Palm
2025-09-21,Adset-2,URL-323,LinkedIn,16787,20519,1111,66,26,Sunshine Meadows
2025-09-21,Adset-1,URL-301,LinkedIn,16100,83046,2659,81,11,ASBL Spire
2025-09-21,Adset-4,URL-412,LinkedIn,10968,88073,1119,56,17,Riverfront Homes
2025-09-21,Adset-2,URL-400,LinkedIn,2984,15714,2838,70,24,ASBL Spire
2025-09-21,Adset-3,URL-424,Facebook,8649,21421,2831,88,8,ASBL Spectra
2025-09-21,Adset-4,URL-356,Instagram,15308,33236,2753,24,15,Riverfront Homes
2025-09-21,Adset-9,URL-339,Instagram,19386,7851,1568,0,2,Elite Enclave
2025-09-21,Adset-7,URL-424,Instagram,3988,89569,2444,46,3,Skyline Towers
2025-09-21,Adset-14,URL-424,LinkedIn,4066,96572,1563,36,9,GreenNest Residency
2025-09-21,Adset-9,URL-377,YouTube,4937,83272,1531,80,14,ASBL Lakeside
2025-09-21,Adset-7,URL-125,LinkedIn,7708,56747,2789,52,26,GreenNest Residency
2025-09-21,Adset-3,URL-327,Facebook,17682,50596,1143,24,8,GreenNest Residency
2025-09-21,Adset-12,URL-424,YouTube,18526,44408,1624,8,27,ASBL Spectra
2025-09-21,Adset-7,URL-412,Facebook,3837,46394,2171,89,6,Sunshine Meadows
2025-09-21,Adset-6,URL-116,WhatsApp,7406,29833,2503,45,21,Skyline Towers
2025-09-21,Adset-10,URL-323,LinkedIn,13126,66679,1901,33,1,Elite Enclave
2025-09-21,Adset-6,URL-172,WhatsApp,3046,13401,1945,37,15,ASBL Loft
2025-09-21,Adset-4,URL-437,WhatsApp,11192,73759,1186,88,6,ASBL Lakeside
2025-09-21,Adset-6,URL-327,Google,9186,76307,1418,27,17,GreenNest Residency
2025-09-21,Adset-8,URL-377,Google,7451,6140,1830,52,3,Riverfront Homes
2025-09-21,Adset-7,URL-400,Facebook,18824,36040,1990,41,10,ASBL Palm
2025-09-21,Adset-13,URL-301,Google,17375,54859,2276,69,7,ASBL Lakeside
2025-09-21,Adset-14,URL-164,LinkedIn,12221,33927,1507,53,12,Skyline Towers
2025-09-21,Adset-1,URL-377,Facebook,16237,11475,2072,68,29,ASBL Spectra
2025-09-21,Adset-1,URL-327,LinkedIn,16605,92438,2526,60,2,ASBL Spire
2025-09-21,Adset-12,URL-246,YouTube,12441,31836,1709,52,11,Skyline Towers
2025-09-21,Adset-10,URL-400,WhatsApp,14499,95607,1142,67,4,ASBL Spectra
2025-09-21,Adset-13,URL-378,Instagram,9910,52279,2017,25,11,Skyline Towers
2025-09-21,Adset-5,URL-481,YouTube,7321,9736,1174,47,24,Sunshine Meadows
2025-09-21,Adset-6,URL-356,Instagram,10262,52453,2883,20,18,ASBL Spectra
2025-09-21,Adset-14,URL-327,Google,19512,43101,1777,99,18,Skyline Towers
2025-09-21,Adset-7,URL-377,LinkedIn,6529,79527,1559,0,19,Elite Enclave
2025-09-21,Adset-3,URL-125,YouTube,17704,47532,2475,73,6,ASBL Spectra
2025-09-21,Adset-13,URL-323,YouTube,8499,39464,2052,38,14,Sunshine Meadows
2025-09-21,Adset-14,URL-378,LinkedIn,11738,10067,1640,74,15,ASBL Loft
2025-09-21,Adset-9,URL-424,Instagram,2774,48932,1153,37,20,ASBL Palm
2025-09-21,Adset-12,URL-366,Instagram,6369,99436,1486,31,9,ASBL Palm
2025-09-21,Adset-4,URL-377,WhatsApp,4606,99750,1508,92,16,Sunshine Meadows
2025-09-22,Adset-10,URL-246,YouTube,4176,13633,2199,5,4,Skyline Towers
2025-09-22,Adset-2,URL-378,LinkedIn,6404,63747,2729,47,26,ASBL Loft
2025-09-22,Adset-10,URL-424,Facebook,4584,35720,1313,31,11,ASBL Spectra
2025-09-22,Adset-7,URL-172,Google,12934,21487,2984,81,27,ASBL Palm
2025-09-22,Adset-14,URL-356,Meta,2450,81172,1065,66,4,ASBL Lakeside
2025-09-22,Adset-6,URL-172,Instagram,8281,18565,1381,98,21,Skyline Towers
2025-09-22,Adset-9,URL-412,Facebook,7682,54367,1401,55,19,ASBL Spire
2025-09-22,Adset-13,URL-366,LinkedIn,17549,34148,2458,13,6,ASBL Palm
2025-09-22,Adset-11,URL-172,LinkedIn,9953,57731,1262,98,1,ASBL Spectra
2025-09-22,Adset-13,URL-116,Instagram,12736,42411,1056,57,10,Sunshine Meadows
2025-09-22,Adset-13,URL-356,Instagram,10280,39351,2934,71,28,ASBL Lakeside
2025-09-22,Adset-5,URL-116,Google,12920,36873,1243,7,3,Skyline Towers
2025-09-22,Adset-2,URL-400,Google,2056,40294,1160,26,29,ASBL Palm
2025-09-22,Adset-11,URL-400,Google,11799,74981,1312,12,0,Riverfront Homes
2025-09-22,Adset-7,URL-412,Meta,7416,43278,2903,81,1,Elite Enclave
2025-09-22,Adset-7,URL-301,Google,17350,88774,1737,97,28,ASBL Loft
2025-09-22,Adset-1,URL-301,LinkedIn,6228,28335,2191,19,20,Riverfront Homes
2025-09-22,Adset-5,URL-327,Instagram,9894,67526,2414,2,13,ASBL Loft
2025-09-22,Adset-12,URL-327,LinkedIn,17861,75982,1588,79,28,ASBL Spectra
2025-09-22,Adset-2,URL-377,Google,2718,99150,2530,8,29,Elite Enclave
2025-09-22,Adset-8,URL-301,YouTube,12772,39306,1452,32,24,Elite Enclave
2025-09-22,Adset-3,URL-481,LinkedIn,4623,91653,1515,29,8,ASBL Lakeside
2025-09-22,Adset-4,URL-301,WhatsApp,14012,16306,1943,6,26,GreenNest Residency
2025-09-22,Adset-3,URL-378,YouTube,8165,31446,2177,30,5,ASBL Loft
2025-09-22,Adset-11,URL-301,YouTube,3545,45243,1223,43,0,ASBL Palm
2025-09-22,Adset-3,URL-437,WhatsApp,16870,52136,2656,47,26,ASBL Palm
2025-09-22,Adset-10,URL-412,LinkedIn,19019,92932,2045,35,20,ASBL Spire
2025-09-22,Adset-8,URL-400,Facebook,3745,47823,2649,62,29,ASBL Loft
2025-09-22,Adset-1,URL-356,Meta,2448,39523,1724,32,15,Elite Enclave
2025-09-22,Adset-9,URL-378,WhatsApp,15198,19928,2666,11,29,ASBL Palm
2025-09-22,Adset-6,URL-378,Facebook,5848,18389,2426,59,20,ASBL Palm
2025-09-22,Adset-5,URL-432,WhatsApp,10764,91416,1159,85,13,ASBL Palm
2025-09-22,Adset-1,URL-301,YouTube,19842,88338,1980,44,7,ASBL Lakeside
2025-09-22,Adset-9,URL-327,LinkedIn,10317,36947,2979,60,10,Sunshine Meadows
2025-09-23,Adset-4,URL-424,Facebook,8287,6371,2254,55,19,Sunshine Meadows
2025-09-23,Adset-11,URL-339,Google,4737,29271,2668,68,16,ASBL Lakeside
2025-09-23,Adset-3,URL-424,Meta,18341,46211,1659,90,18,ASBL Lakeside
2025-09-23,Adset-12,URL-125,WhatsApp,10060,48407,1576,7,18,Elite Enclave
2025-09-23,Adset-13,URL-377,Instagram,9514,65888,2289,1,14,ASBL Lakeside
2025-09-23,Adset-1,URL-356,Facebook,1805,40259,2472,29,11,GreenNest Residency
2025-09-23,Adset-7,URL-339,WhatsApp,3268,24504,2796,21,2,Elite Enclave
2025-09-23,Adset-10,URL-172,Facebook,12180,21314,1619,36,10,Skyline Towers
2025-09-23,Adset-8,URL-172,WhatsApp,3378,10604,1914,5,29,Sunshine Meadows
2025-09-23,Adset-11,URL-377,Google,15428,42769,1343,7,8,ASBL Spectra
2025-09-23,Adset-6,URL-323,Google,16951,5850,1793,60,28,ASBL Spire
2025-09-23,Adset-8,URL-356,Meta,7863,72445,2226,85,14,ASBL Lakeside
2025-09-23,Adset-2,URL-378,Facebook,18204,63684,2484,51,4,Sunshine Meadows
2025-09-23,Adset-12,URL-424,YouTube,10626,42983,1729,74,27,Skyline Towers
2025-09-23,Adset-10,URL-164,Facebook,12256,62769,2655,83,19,GreenNest Residency
2025-09-23,Adset-8,URL-172,WhatsApp,1306,24799,2671,46,3,ASBL Spire
2025-09-23,Adset-11,URL-301,Meta,4579,36461,1114,96,23,Riverfront Homes
2025-09-23,Adset-3,URL-432,WhatsApp,11037,40858,1402,46,18,GreenNest Residency
2025-09-23,Adset-3,URL-356,Google,19183,11508,2723,91,10,ASBL Spire
2025-09-23,Adset-8,URL-301,Google,9734,13122,2115,7,22,GreenNest Residency
2025-09-23,Adset-11,URL-356,Meta,14007,19121,1497,35,28,Sunshine Meadows
2025-09-23,Adset-7,URL-400,YouTube,17877,39140,2061,22,26,ASBL Spire
2025-09-23,Adset-8,URL-378,WhatsApp,9474,44750,2752,33,26,Skyline Towers
2025-09-23,Adset-12,URL-366,Meta,12724,82521,1390,63,26,Skyline Towers
2025-09-23,Adset-9,URL-246,Instagram,12386,71636,2568,67,3,ASBL Spectra
2025-09-23,Adset-14,URL-125,Meta,19993,50966,1767,48,23,ASBL Palm
2025-09-23,Adset-7,URL-412,Google,2211,36835,2024,28,26,Sunshine Meadows
2025-09-23,Adset-4,URL-339,LinkedIn,15987,90141,2633,61,20,Elite Enclave
2025-09-23,Adset-13,URL-301,Google,19463,89205,1019,39,26,Sunshine Meadows
2025-09-23,Adset-5,URL-424,Instagram,16435,96541,2656,66,26,ASBL Loft
2025-09-23,Adset-11,URL-457,YouTube,4145,29559,2800,18,1,ASBL Spectra
2025-09-23,Adset-5,URL-437,WhatsApp,7439,21816,2772,69,25,Elite Enclave
2025-09-24,Adset-4,URL-366,Facebook,16823,75331,2512,81,21,Elite Enclave
2025-09-24,Adset-6,URL-172,YouTube,9001,81006,2576,25,15,Sunshine Meadows
2025-09-24,Adset-4,URL-116,Google,9589,75545,1827,20,12,GreenNest Residency
2025-09-24,Adset-2,URL-301,LinkedIn,13556,56105,2170,68,2,Sunshine Meadows
2025-09-24,Adset-2,URL-246,WhatsApp,11473,52935,2264,73,15,Riverfront Homes
2025-09-24,Adset-6,URL-125,WhatsApp,15153,16948,1993,93,8,GreenNest Residency
2025-09-24,Adset-1,URL-164,Instagram,16988,83866,2031,74,2,Sunshine Meadows
2025-09-24,Adset-2,URL-437,Facebook,18154,18659,2366,25,5,Elite Enclave
2025-09-24,Adset-8,URL-125,Meta,16545,55639,2807,38,26,Riverfront Homes
2025-09-24,Adset-2,URL-432,Instagram,16340,51602,2032,66,11,ASBL Loft
